preparing vectors...Hang Tight...
Vectors prepared.
Applying KMeans Clustering to vectors...Hang Tight...
KMeans applied, clusters formed
Predicting labels...Hang Tight...
Writing to file...
Done...File saved to current Directory
None
         615113 function calls (615084 primitive calls) in 406.109 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 :0(__subclasses__)
        3    0.000    0.000    0.000    0.000 :0(__subclasshook__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
        6    0.000    0.000    0.000    0.000 :0(add)
    20453    0.047    0.000    0.047    0.000 :0(append)
       25    0.000    0.000    0.000    0.000 :0(arange)
     3394    0.078    0.000    0.078    0.000 :0(array)
      151    0.016    0.000    0.016    0.000 :0(astype)
        1    0.016    0.016    0.016    0.016 :0(bincount)
        1    0.000    0.000    0.000    0.000 :0(callable)
       28    0.000    0.000    0.000    0.000 :0(can_cast)
     1979    0.031    0.000    0.031    0.000 :0(charmap_decode)
        6    0.000    0.000    0.000    0.000 :0(charmap_encode)
        1    0.000    0.000    0.000    0.000 :0(compile)
       49    0.031    0.001    0.031    0.001 :0(coo_todense)
       58    0.016    0.000    0.016    0.000 :0(copy)
       29    0.000    0.000    0.000    0.000 :0(copyto)
        1    0.000    0.000    0.000    0.000 :0(csc_matvec)
       25    0.578    0.023    0.578    0.023 :0(csc_tocsr)
       26    0.000    0.000    0.000    0.000 :0(csr_has_canonical_format)
       26    0.000    0.000    0.000    0.000 :0(csr_has_sorted_indices)
       49    0.031    0.001    0.031    0.001 :0(csr_matmat_pass1)
       49    0.062    0.001    0.062    0.001 :0(csr_matmat_pass2)
        1    0.000    0.000    0.000    0.000 :0(csr_matvec)
        1    0.031    0.031    0.031    0.031 :0(csr_mean_variance_axis0)
       25    0.000    0.000    0.016    0.001 :0(csr_row_norms)
       26    0.109    0.004    0.109    0.004 :0(csr_sort_indices)
       25    0.000    0.000    0.000    0.000 :0(csr_sum_duplicates)
       25    0.000    0.000    0.000    0.000 :0(cumsum)
        1    0.016    0.016    0.016    0.016 :0(einsum)
      301    0.000    0.000    0.000    0.000 :0(empty)
        1    0.000    0.000    0.000    0.000 :0(empty_like)
        1    0.000    0.000  406.109  406.109 :0(exec)
       49    0.000    0.000    0.000    0.000 :0(expandptr)
    20394    0.141    0.000    0.141    0.000 :0(extend)
        2    0.000    0.000    0.000    0.000 :0(find)
    10197    0.625    0.000    0.625    0.000 :0(findall)
        2    0.000    0.000    0.000    0.000 :0(frombuffer)
       84    0.000    0.000    0.000    0.000 :0(get)
       25    0.000    0.000    0.000    0.000 :0(get_csr_submatrix)
      208    0.000    0.000    0.000    0.000 :0(getattr)
      566    0.000    0.000    0.000    0.000 :0(hasattr)
       79    0.000    0.000    0.000    0.000 :0(hash)
       25    0.000    0.000    0.000    0.000 :0(indices)
    12801    0.031    0.000    0.031    0.000 :0(isinstance)
       60    0.000    0.000    0.000    0.000 :0(issubclass)
        3    0.000    0.000    0.000    0.000 :0(items)
        3    0.000    0.000    0.000    0.000 :0(iter)
       51    0.000    0.000    0.000    0.000 :0(join)
    10197    0.062    0.000    0.062    0.000 :0(keys)
13311/13310    0.016    0.000    0.016    0.000 :0(len)
    10197    0.016    0.000    0.016    0.000 :0(lower)
      452    0.000    0.000    0.016    0.000 :0(max)
      153    0.000    0.000    0.000    0.000 :0(min)
      279    0.000    0.000    0.000    0.000 :0(newbyteorder)
        1    0.000    0.000    0.000    0.000 :0(next)
        1    0.000    0.000    0.000    0.000 :0(open)
        3    0.000    0.000    0.000    0.000 :0(print)
        1    0.000    0.000    0.000    0.000 :0(randint)
       24    0.000    0.000    0.000    0.000 :0(random_sample)
       52    0.000    0.000    0.000    0.000 :0(ravel)
        1    0.000    0.000    0.000    0.000 :0(reader)
      470    0.062    0.000    0.062    0.000 :0(reduce)
        3    0.000    0.000    0.000    0.000 :0(remove)
        2    0.000    0.000    0.000    0.000 :0(reshape)
      202    0.000    0.000    0.000    0.000 :0(rpartition)
       24    0.000    0.000    0.000    0.000 :0(searchsorted)
        1    0.125    0.125    0.125    0.125 :0(sorted)
    81575    0.250    0.000    0.250    0.000 :0(split)
   244725    0.500    0.000    0.500    0.000 :0(strip)
      172    0.000    0.000    0.047    0.000 :0(sum)
        1    0.016    0.016    0.016    0.016 :0(take)
        4    0.000    0.000    0.000    0.000 :0(transpose)
    10197    0.000    0.000    0.000    0.000 :0(values)
        2    0.000    0.000    0.000    0.000 :0(view)
        1    0.000    0.000    0.000    0.000 :0(where)
